Entity,Score
cookiecutter/generate.py::288,0.0
cookiecutter/generate.py::287,0.0
cookiecutter/generate.py::286,0.0
cookiecutter/generate.py::284,0.0
cookiecutter/generate.py::282,0.0
cookiecutter/generate.py::281,0.0
cookiecutter/generate.py::277,0.0
cookiecutter/generate.py::276,0.0
cookiecutter/generate.py::274,0.0
cookiecutter/generate.py::273,0.0
cookiecutter/generate.py::269,0.0
cookiecutter/generate.py::267,0.0
cookiecutter/generate.py::266,0.0
cookiecutter/generate.py::265,0.0
cookiecutter/generate.py::260,0.0
cookiecutter/generate.py::259,0.0
cookiecutter/generate.py::256,0.0
cookiecutter/generate.py::255,0.0
cookiecutter/generate.py::246,0.0
cookiecutter/generate.py::245,0.0
cookiecutter/generate.py::244,0.0
cookiecutter/generate.py::243,0.0
cookiecutter/generate.py::242,0.0
cookiecutter/generate.py::241,0.0
cookiecutter/generate.py::239,0.0
cookiecutter/generate.py::238,0.0
cookiecutter/generate.py::237,0.0
cookiecutter/generate.py::222,0.0
cookiecutter/generate.py::220,0.0
cookiecutter/generate.py::219,0.0
cookiecutter/generate.py::212,0.0
cookiecutter/generate.py::211,0.0
cookiecutter/generate.py::209,0.0
cookiecutter/generate.py::208,0.0
cookiecutter/generate.py::207,0.0
cookiecutter/generate.py::202,0.0
cookiecutter/generate.py::200,0.0
cookiecutter/generate.py::197,0.0
cookiecutter/generate.py::196,0.0
cookiecutter/generate.py::194,0.0
cookiecutter/generate.py::193,0.0
cookiecutter/generate.py::192,0.0
cookiecutter/generate.py::191,0.0
cookiecutter/generate.py::190,0.0
cookiecutter/generate.py::180,0.0
cookiecutter/generate.py::177,0.0
cookiecutter/generate.py::176,0.0
cookiecutter/generate.py::174,0.0
cookiecutter/generate.py::172,0.0
cookiecutter/generate.py::171,0.0
cookiecutter/generate.py::170,0.0
cookiecutter/generate.py::167,0.0
cookiecutter/generate.py::166,0.0
cookiecutter/generate.py::165,0.0
cookiecutter/generate.py::162,0.0
cookiecutter/generate.py::158,0.0
cookiecutter/generate.py::157,0.0
cookiecutter/generate.py::156,0.0
cookiecutter/generate.py::155,0.0
cookiecutter/generate.py::154,0.0
cookiecutter/generate.py::151,0.0
cookiecutter/generate.py::149,0.0
cookiecutter/generate.py::148,0.0
cookiecutter/generate.py::147,0.0
cookiecutter/generate.py::146,0.0
cookiecutter/generate.py::145,0.0
cookiecutter/generate.py::143,0.0
cookiecutter/generate.py::140,0.0
cookiecutter/generate.py::115,0.0
cookiecutter/generate.py::114,0.0
cookiecutter/generate.py::112,0.0
cookiecutter/generate.py::111,0.0
cookiecutter/generate.py::110,0.0
cookiecutter/generate.py::109,0.0
cookiecutter/generate.py::105,0.0
cookiecutter/generate.py::104,0.0
cookiecutter/generate.py::103,0.0
cookiecutter/generate.py::100,0.0
cookiecutter/find.py::42,0.0
cookiecutter/find.py::40,0.0
cookiecutter/find.py::38,0.0
cookiecutter/find.py::37,0.0
cookiecutter/find.py::36,0.0
cookiecutter/find.py::35,0.0
cookiecutter/find.py::33,0.0
cookiecutter/find.py::32,0.0
cookiecutter/find.py::31,0.0
cookiecutter/find.py::30,0.0
cookiecutter/find.py::29,0.0
cookiecutter/find.py::27,0.0
cookiecutter/find.py::25,0.0
